"","sum_global_health_1","sum_mental_health_1","sum_physical_health_1","sum_emotional_affliction_1","sum_cognitive_affliction_1","sum_diagnostics_1","sum_physical_activity_1","sum_alcohol_1","sum_smoking_1","sum_jenskin_1","sum_medas_1","sum_ewl_1","sum_soc_1","sum_self_1","sum_pos_relation_1","sum_autonomy_1","sum_context_1","sum_growth_1","sum_purpose_1","sum_purpose_q1","sum_growth_q1","sum_who_qol_1","sum_cognitive_reserve_1","sum_dass_1","sum_depression_1","sum_anxiety_1","sum_stress_1","sum_pittsburgh_1","sum_lubben_1","sum_godin_1","sum_dominance"
"sum_global_health_1",1,0.909524589556433,0.900305096861717,0.501992636046522,0.44649915490327,-0.160027037232029,0.27997290426187,0.0672220421904048,-0.14093044935111,-0.375775289574998,0.119173355957768,0.451858546331162,0.455035093129669,0.487777720662434,0.31739894181873,0.225391185851514,0.429681291849433,0.253001670090617,0.443475618858868,0.355830856440511,0.295284011998574,0.590467838646185,0.256052717753407,-0.421612235262496,-0.375877505907324,-0.410462927435966,-0.432185193375785,-0.356719233897357,0.282871572448686,0.153069516411568,-0.0182125013696163
"sum_mental_health_1",0.909524589556433,1,0.679569867106835,0.572212563212447,0.453976165064913,-0.155752746951006,0.215012905859203,0.0721922382033898,-0.105054316285238,-0.337968806548851,0.107180146043378,0.501584685164311,0.499048730400495,0.540573186864324,0.378690785869363,0.270349295236277,0.466010674168172,0.276977191114643,0.486655176439472,0.395995423258563,0.32892953246004,0.601271970024576,0.299392071555283,-0.451420669880806,-0.389847909332843,-0.449928406964013,-0.464015609035356,-0.325464362591502,0.336495654074889,0.109380321299421,-0.0186808869018262
"sum_physical_health_1",0.900305096861717,0.679569867106835,1,0.349079199067661,0.357377596853353,-0.134302945143226,0.295586320470083,0.0560893241887029,-0.142705533417389,-0.316857114870674,0.116632736150616,0.353117539369908,0.34189195084147,0.371935058047347,0.228675506656503,0.150415796386624,0.333058088595743,0.21092594206682,0.354264075543393,0.283558902630999,0.244388293798786,0.488979965607037,0.218206542307846,-0.322134682575992,-0.290562077294327,-0.306736917167402,-0.334975533274899,-0.304088361644537,0.215540434495668,0.161782145716603,-0.0082343296157555
"sum_emotional_affliction_1",0.501992636046522,0.572212563212447,0.349079199067661,1,0.472162403522838,-0.216970958414772,0.126058910839587,0.0261251249037901,-0.0268664660630513,-0.401859348961936,0.103770362743261,0.402124666506418,0.528302058272887,0.444359958863274,0.263590259954223,0.244120072500536,0.427206187188752,0.200529330352205,0.401562326379984,0.336912025489767,0.240662217803194,0.469777970476539,0.141959972744025,-0.572955474118542,-0.521448736106446,-0.57300259283627,-0.556241753573261,-0.371517472696845,0.179242788005686,0.0971636199391658,-0.00538426038250118
"sum_cognitive_affliction_1",0.44649915490327,0.453976165064913,0.357377596853353,0.472162403522838,1,-0.160494464191269,0.12534174544571,0.0496117492631074,-0.0917503980524079,-0.39297910053286,0.0514337419317855,0.293323311379755,0.427405487381926,0.338387520503021,0.202478345811103,0.279478215786434,0.337142005199022,0.202776795776678,0.308624262004003,0.29492760331312,0.239674207969935,0.377224894590891,0.172833898220555,-0.44190096498245,-0.416744538840692,-0.417415101892231,-0.443088270525618,-0.311502820941602,0.155158737937994,0.0755482363066142,-0.0105774095701526
"sum_diagnostics_1",-0.160027037232029,-0.155752746951006,-0.134302945143226,-0.216970958414772,-0.160494464191269,1,-0.0679953327462491,-0.0295735327297128,0.0652494180050049,0.188421240664474,-0.0091302648336338,-0.105629799688356,-0.152572885040178,-0.115599244077129,-0.0675132742227325,-0.0126673151266212,-0.135176980628314,-0.033076986252695,-0.0960666837268335,-0.100701444493983,-0.0340525449886588,-0.162626618236966,-0.0247164724592612,0.24051420428077,0.232572253957271,0.224585030834445,0.23787732963188,0.210459325203284,-0.0319591392566543,-0.0652825382748359,0.00478092190025739
"sum_physical_activity_1",0.27997290426187,0.215012905859203,0.295586320470083,0.126058910839587,0.12534174544571,-0.0679953327462491,1,-0.0220404104598601,-0.0688627128674678,-0.0870660237973805,0.202057787323522,0.161554099512585,0.124034834599504,0.139864537370736,0.0959348285294415,0.0508630815423621,0.173784964371421,0.135793452051595,0.155500901085208,0.160836668144395,0.120429658654854,0.223616948916675,0.100292174523588,-0.145225077375634,-0.12822969037115,-0.145444338712203,-0.145206943951578,-0.0925954085731443,0.0878624907838489,0.44774799041574,0.00777231182820145
"sum_alcohol_1",0.0672220421904048,0.0721922382033898,0.0560893241887029,0.0261251249037901,0.0496117492631074,-0.0295735327297128,-0.0220404104598601,1,-0.185065480432604,-0.0448883067974576,-0.126638457640238,0.0553054419442482,0.0810039111427957,0.0736663686713358,0.0771495610637607,0.0388659293345057,0.0527683507734816,0.0468739340122546,0.0840424766419324,0.0628026676148189,0.0323031699911851,0.0688930315617259,0.0196046022703128,-0.0506895734005582,-0.0478958018983467,-0.0444519546971583,-0.055004703893297,-0.0398744216078739,0.0621956326811566,-0.0236473375143863,-0.0229637513065845
"sum_smoking_1",-0.14093044935111,-0.105054316285238,-0.142705533417389,-0.0268664660630513,-0.0917503980524079,0.0652494180050049,-0.0688627128674678,-0.185065480432604,1,0.0525391323909913,-0.00197276338077362,-0.0931765861071099,-0.0785726561508558,-0.0628971568082368,-0.071060412720755,-0.0275613122165831,-0.0602832493125095,-0.0792979412159014,-0.0951063261152767,-0.112082916205693,-0.0828472120202094,-0.10010093669611,-0.0725472726606111,0.0641562979810279,0.0555721153225732,0.054447412364299,0.0776202894976896,0.0644555343631492,-0.0480291944023725,-0.0541661540466585,0.00343956575022299
"sum_jenskin_1",-0.375775289574998,-0.337968806548851,-0.316857114870674,-0.401859348961936,-0.39297910053286,0.188421240664474,-0.0870660237973805,-0.0448883067974576,0.0525391323909913,1,-0.0802723530805851,-0.245367059833325,-0.328438884257254,-0.286154195109771,-0.185120730375147,-0.142852943951963,-0.276488198245913,-0.111065476333261,-0.250379519633128,-0.225743362982559,-0.133913941836684,-0.346152868312579,-0.0515860811778771,0.363091679577297,0.346170261068757,0.353703403595018,0.346403007090489,0.590497148264505,-0.106667926530842,-0.113745537067453,0.0153902272903583
