"","id_user","sec_difference"
"1",182009,136
"2",194094,324
"3",59229,344
"4",147978,358
"5",61159,372
"6",206029,378
"7",119787,393
"8",158478,394
"9",168876,396
"10",169805,399
"11",49847,409
"12",178242,414
"13",135929,417
"14",192395,417
"15",142224,419
"16",82025,423
"17",147571,424
"18",67965,425
"19",81436,427
"20",208974,436
"21",95911,438
"22",194851,439
"23",90789,440
"24",42073,443
"25",120140,444
"26",52011,445
"27",55360,445
"28",190369,462
"29",140511,463
"30",86525,464
"31",46564,474
"32",96985,476
"33",139628,476
"34",132561,477
"35",152027,479
"36",63973,480
"37",46702,481
"38",90657,481
"39",186777,481
"40",49077,484
"41",74014,486
"42",96521,486
"43",123025,486
"44",83764,487
"45",95214,487
"46",177564,490
"47",189389,492
"48",208194,492
"49",47160,493
"50",73424,493
"51",168362,493
"52",208022,493
"53",53699,495
"54",50086,496
"55",147080,497
"56",81288,500
"57",101841,500
"58",106181,500
"59",151809,501
"60",181375,501
"61",78426,503
"62",173915,504
"63",207436,506
"64",49307,512
"65",203143,512
"66",97044,513
"67",133378,513
"68",42051,514
"69",83505,514
"70",90495,516
"71",207083,516
"72",99401,518
"73",60226,520
"74",59594,522
"75",183165,523
"76",76574,527
"77",187415,528
"78",81627,529
"79",81641,531
"80",79902,533
"81",88039,533
"82",94699,533
"83",90935,535
"84",93867,535
"85",113336,536
"86",206296,538
"87",86925,539
"88",108348,539
"89",118124,540
"90",181802,540
"91",81561,541
"92",110998,541
"93",192217,541
"94",59587,543
"95",158575,543
"96",201539,543
"97",178808,544
"98",162729,545
"99",83512,547
"100",177758,547
"101",48823,549
"102",81568,549
"103",61230,550
"104",89543,551
"105",149079,551
"106",151795,551
"107",156542,551
"108",64002,552
"109",86150,552
"110",71251,554
"111",100581,555
"112",168168,556
"113",195846,556
"114",190755,557
"115",104720,559
"116",161081,559
"117",49128,561
"118",81856,562
"119",130379,562
"120",44574,563
"121",123084,563
"122",128165,563
"123",47927,564
"124",48014,564
"125",107036,566
"126",102721,567
"127",108406,568
"128",176228,568
"129",63323,570
"130",133702,572
"131",175899,573
"132",69307,574
"133",125721,575
"134",67376,576
"135",54537,577
"136",61682,577
"137",78543,578
"138",122785,579
"139",55743,580
"140",61931,580
"141",134038,580
"142",91552,581
"143",108686,581
"144",125714,581
"145",166709,582
"146",169856,582
"147",51513,583
"148",52328,583
"149",210250,583
"150",86991,584
"151",194021,584
"152",102435,585
"153",118879,585
"154",78345,586
"155",191121,586
"156",199178,586
"157",49368,587
"158",166505,587
"159",87145,588
"160",57739,589
"161",85733,589
"162",182531,589
"163",148658,590
"164",132554,591
"165",95744,592
"166",74726,593
"167",163747,593
"168",53028,594
"169",88948,596
"170",103692,597
"171",108370,597
"172",61997,598
"173",137899,598
"174",77892,599
"175",134470,599
"176",206559,600
"177",107694,601
"178",133407,602
"179",141284,602
"180",178291,602
"181",143272,603
"182",185780,603
"183",48556,604
"184",124575,604
"185",158402,604
"186",54289,605
"187",68637,605
"188",151470,605
"189",198699,605
"190",76914,606
"191",152609,606
"192",80116,607
"193",129388,608
"194",133667,608
"195",91105,609
"196",156632,610
"197",179422,610
"198",87337,611
"199",196118,611
"200",50029,614
"201",62699,615
"202",56104,616
"203",57783,617
"204",111197,617
"205",178801,617
"206",45904,618
"207",57003,618
"208",102406,618
"209",124287,618
"210",137533,618
"211",160218,618
"212",205939,618
"213",72420,619
"214",84744,619
"215",104043,620
"216",45940,621
"217",80525,621
"218",152072,621
"219",159217,621
"220",199673,621
"221",102332,622
"222",43730,623
"223",100888,623
"224",127588,626
"225",63856,627
"226",67615,627
"227",201792,627
"228",50623,628
"229",54282,628
"230",66071,628
"231",73875,628
"232",135044,629
"233",133602,630
"234",46421,631
"235",187583,631
"236",206807,631
"237",66049,632
"238",66826,632
"239",90701,633
"240",91083,633
"241",48621,634
"242",61968,634
"243",84463,634
"244",188852,634
"245",60809,635
"246",45860,636
"247",100086,636
"248",157724,636
"249",60408,637
"250",164481,637
"251",43627,638
"252",185961,638
"253",191816,638
"254",118520,639
"255",184385,639
"256",115650,640
"257",118358,640
"258",46485,642
"259",50377,642
"260",151523,642
"261",187539,642
"262",102910,643
"263",64579,644
"264",136397,644
"265",149028,644
"266",73228,647
"267",139804,647
"268",54828,648
"269",81834,648
"270",54798,649
"271",112681,649
"272",174155,649
"273",61521,650
"274",92820,650
"275",101426,650
"276",104926,650
"277",154542,651
"278",194656,651
"279",136741,652
"280",149760,652
"281",181991,652
"282",109369,653
"283",109559,654
"284",176428,654
"285",92543,655
"286",138216,655
"287",208000,655
"288",49570,656
"289",139350,656
"290",50863,658
"291",139855,658
"292",102699,660
"293",154631,660
"294",52635,661
"295",62799,661
"296",89941,661
"297",158170,661
"298",76381,662
"299",175100,662
"300",177305,662
"301",65168,663
"302",119369,663
"303",153104,663
"304",51040,665
"305",61180,665
"306",184441,665
"307",185358,665
"308",146411,666
"309",200815,666
"310",63922,667
"311",91743,667
"312",201243,667
"313",52018,668
"314",71154,668
"315",99863,668
"316",141893,668
"317",205820,670
"318",48946,671
"319",121820,671
"320",163073,671
"321",177242,671
"322",179106,671
"323",86954,672
"324",89037,672
"325",111190,672
"326",49774,673
"327",56391,673
"328",71600,673
"329",107231,673
"330",145980,673
"331",162128,673
"332",76537,674
"333",77123,675
"334",96226,675
"335",165537,675
"336",62176,676
"337",104995,676
"338",102486,677
"339",126271,678
"340",198813,678
"341",46042,680
"342",48021,680
"343",61785,680
"344",93533,680
"345",147224,680
"346",188806,680
"347",48520,681
"348",53114,681
"349",71579,681
"350",115613,681
"351",137374,681
"352",155068,682
"353",185616,682
"354",104801,683
"355",107574,683
"356",185159,683
"357",193278,683
"358",130551,684
"359",132722,684
"360",150986,684
"361",198428,684
"362",48346,685
"363",54448,685
"364",92163,685
"365",100289,685
"366",193336,685
"367",95845,686
"368",125242,686
"369",99254,687
"370",194349,687
"371",57084,688
"372",58598,688
"373",86947,688
"374",126020,688
"375",151895,689
"376",91258,690
"377",109941,690
"378",134687,690
"379",153998,690
"380",155813,690
"381",175578,690
"382",45774,691
"383",46463,691
"384",71214,691
"385",83211,691
"386",158409,691
"387",163462,691
"388",174740,691
"389",49738,692
"390",195017,692
"391",48223,693
"392",137830,693
"393",165627,693
"394",183158,693
"395",91507,694
"396",145671,694
"397",67715,695
"398",105713,695
"399",207589,695
"400",78769,696
"401",133874,696
"402",176729,696
"403",181544,696
"404",189230,696
"405",194145,696
"406",150493,697
"407",197013,697
"408",97190,698
"409",110530,698
"410",144571,698
"411",181522,698
"412",108773,699
"413",57173,700
"414",69235,700
"415",71095,700
"416",81827,700
"417",87293,700
"418",127995,700
"419",129156,700
"420",144362,700
"421",176985,700
"422",187662,701
"423",60475,702
"424",59177,703
"425",187885,703
"426",112380,704
"427",147066,704
"428",209233,704
"429",88509,705
"430",140619,705
"431",162888,705
"432",197975,705
"433",64514,707
"434",67846,707
"435",83743,707
"436",207069,707
"437",128211,708
"438",160910,708
"439",175074,708
"440",208619,708
"441",58277,709
"442",77019,709
"443",54184,710
"444",55853,710
"445",75393,710
"446",99811,710
"447",156535,710
"448",178092,710
"449",201838,710
"450",76647,711
"451",106291,711
"452",73744,712
"453",126212,712
"454",155446,712
"455",50058,713
"456",103005,713
"457",120777,713
"458",92214,714
"459",157501,714
"460",49033,715
"461",63359,715
"462",163710,716
"463",152726,717
"464",113107,718
"465",93200,719
"466",178004,719
"467",62304,720
"468",84141,720
"469",110668,720
"470",122741,720
"471",104167,721
"472",111946,721
"473",157811,721
"474",159537,721
"475",64685,722
"476",64805,722
"477",95565,722
"478",141580,723
"479",49449,724
"480",104131,724
"481",138057,724
"482",140337,725
"483",160351,725
"484",73508,726
"485",78935,726
"486",88662,726
"487",175320,726
"488",51706,727
"489",90752,727
"490",104633,727
"491",192971,727
"492",193737,727
"493",92889,728
"494",53810,729
"495",58079,730
"496",161537,730
"497",49621,731
"498",109515,731
"499",49390,732
"500",121645,733
"501",57209,734
"502",78637,734
"503",105362,734
"504",158499,734
"505",161812,734
"506",68762,735
"507",69109,735
"508",157545,735
"509",184310,735
"510",71586,736
"511",75761,736
"512",109082,736
"513",97535,737
"514",88366,738
