"","id_user","sec_difference"
"1",147978,95
"2",147080,109
"3",178242,109
"4",99401,110
"5",194851,111
"6",55179,113
"7",186777,113
"8",206296,113
"9",52011,117
"10",83505,117
"11",90789,117
"12",95744,118
"13",164481,120
"14",76574,122
"15",86925,122
"16",94699,122
"17",169567,122
"18",62511,123
"19",135044,124
"20",147571,124
"21",189389,124
"22",61931,125
"23",92820,127
"24",104043,128
"25",121870,128
"26",118124,129
"27",133602,129
"28",61557,130
"29",78345,130
"30",107105,130
"31",194021,130
"32",51706,131
"33",96582,131
"34",108406,131
"35",56104,132
"36",147189,132
"37",195846,132
"38",114028,133
"39",86525,134
"40",42051,135
"41",106181,135
"42",206029,135
"43",208194,135
"44",109229,136
"45",127958,136
"46",61159,137
"47",74014,137
"48",86150,137
"49",125714,137
"50",146289,137
"51",158478,137
"52",69389,138
"53",105713,138
"54",111197,138
"55",137899,138
"56",71095,139
"57",106291,139
"58",60475,140
"59",64579,140
"60",76921,140
"61",93896,140
"62",190369,140
"63",103692,141
"64",123025,141
"65",168876,141
"66",194996,141
"67",58386,142
"68",61785,142
"69",72954,142
"70",90935,142
"71",102435,142
"72",119787,142
"73",122506,142
"74",163747,142
"75",208974,142
"76",47528,143
"77",169640,143
"78",57657,145
"79",140453,145
"80",150379,145
"81",162595,145
"82",193256,145
"83",206874,145
"84",72296,146
"85",118879,146
"86",121367,146
"87",78543,147
"88",183165,147
"89",42073,148
"90",59229,148
"91",59594,148
"92",63690,148
"93",152522,148
"94",199673,148
"95",48223,149
"96",121759,149
"97",146411,149
"98",148658,149
"99",168168,149
"100",173915,149
"101",184385,150
"102",73191,151
"103",106467,151
"104",144362,151
"105",151470,151
"106",165094,151
"107",44574,152
"108",74726,152
"109",78426,152
"110",81561,152
"111",89470,152
"112",101426,152
"113",107964,152
"114",128039,152
"115",48621,153
"116",50086,153
"117",84744,153
"118",203497,153
"119",86947,154
"120",105318,154
"121",108348,154
"122",134318,154
"123",191121,154
"124",46042,155
"125",49442,155
"126",51567,155
"127",59587,155
"128",71154,155
"129",81436,155
"130",88509,155
"131",96521,155
"132",196929,155
"133",205599,155
"134",49449,156
"135",86991,156
"136",92083,156
"137",129388,156
"138",149079,156
"139",199178,156
"140",43730,157
"141",49847,157
"142",52328,157
"143",52809,157
"144",54537,157
"145",61682,157
"146",64557,157
"147",70118,157
"148",83764,157
"149",84141,157
"150",91105,157
"151",99490,157
"152",107036,157
"153",157322,157
"154",162888,157
"155",177305,157
"156",52882,158
"157",78091,158
"158",78857,158
"159",93345,158
"160",125721,158
"161",140511,158
"162",177564,158
"163",61528,159
"164",72282,159
"165",81641,159
"166",87337,159
"167",52578,160
"168",57003,160
"169",64002,160
"170",69278,160
"171",79111,160
"172",80743,160
"173",104720,160
"174",78878,161
"175",95258,161
"176",98468,161
"177",100888,161
"178",118593,161
"179",122078,161
"180",132601,161
"181",133378,161
"182",178801,161
"183",49621,162
"184",52635,162
"185",55111,162
"186",58108,162
"187",78871,162
"188",99637,162
"189",102486,162
"190",122785,162
"191",134470,162
"192",140366,162
"193",181522,162
"194",181837,162
"195",194378,162
"196",50465,163
"197",57364,163
"198",63922,163
"199",67965,163
"200",71980,163
"201",124287,163
"202",126271,163
"203",132041,163
"204",132561,163
"205",164353,163
"206",195017,163
"207",197038,163
"208",48556,164
"209",49307,164
"210",62064,164
"211",62176,164
"212",90701,164
"213",121322,164
"214",149464,164
"215",150659,164
"216",46731,165
"217",58079,165
"218",75159,165
"219",181375,165
"220",187415,165
"221",48230,166
"222",62699,166
"223",62799,166
"224",71251,166
"225",98355,166
"226",159537,166
"227",50713,167
"228",58335,167
"229",84876,167
"230",95214,167
"231",96160,167
"232",101804,167
"233",108590,167
"234",149172,167
"235",153998,167
"236",176308,167
"237",196104,167
"238",102721,168
"239",161812,168
"240",196353,168
"241",206947,168
"242",43671,169
"243",45860,169
"244",46702,169
"245",57783,169
"246",88662,169
"247",98443,169
"248",151895,169
"249",159217,169
"250",52671,170
"251",59835,170
"252",87573,170
"253",88948,170
"254",104926,170
"255",119369,170
"256",145584,170
"257",174155,170
"258",185358,170
"259",194094,170
"260",198450,170
"261",46013,171
"262",50458,171
"263",50652,171
"264",62689,171
"265",65168,171
"266",119433,171
"267",198699,171
"268",41064,172
"269",46071,172
"270",75601,172
"271",128211,172
"272",131718,172
"273",134426,172
"274",142515,172
"275",68999,173
"276",75130,173
"277",76465,173
"278",84677,173
"279",92046,173
"280",99811,173
"281",100859,173
"282",132939,173
"283",137830,173
"284",166709,173
"285",175578,173
"286",185780,173
"287",188806,173
"288",60226,174
"289",63025,174
"290",71161,174
"291",84773,174
"292",90495,174
"293",104640,174
"294",110749,174
"295",121645,174
"296",141022,174
"297",150986,174
"298",152317,174
"299",176228,174
"300",181991,174
"301",202200,174
"302",208000,174
"303",43627,175
"304",47366,175
"305",49358,175
"306",53978,175
"307",93008,175
"308",102543,175
"309",103999,175
"310",123084,175
"311",155243,175
"312",165627,175
"313",177857,175
