"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",9.85563022985803,2.45906259772613,4.00788098642605,6.36777446331202e-05
"2","gender2",0.165670446299167,0.177915042411568,0.931177285818947,0.351882449567758
"3","Q1.3.1",-0.00481946782315169,0.00377123213447704,-1.27795575856802,0.201424147463765
"4","Q1.52",0.034789359269588,0.226119063309088,0.153854163202656,0.877741380742141
"5","Q1.53",0.520883370876935,0.435554068161953,1.19590978239527,0.231883873823777
"6","Q1.54",-0.376387488758455,0.209709050996959,-1.79480803031203,0.0728462545345368
"7","Q1.62",-0.243658221327358,0.255051063136005,-0.955331133818597,0.339534143943584
"8","Q1.63",-0.541128014947071,0.263155569090639,-2.05630462929967,0.0398921096876189
"9","Q1.64",-0.786030258336459,0.28053589476603,-2.80188836081748,0.00513294952065074
"10","Q1.65",-0.351174959870084,0.46696735993957,-0.752033204024216,0.452126038718819
"11","Q1.66",-0.807698677991763,0.364066545509141,-2.21854682325235,0.0266376428781113
"12","Q1.7",0.0189754097827593,0.00915796047747277,2.07201263091668,0.0384014894671537
"13","Q1.92",-0.650542793726863,0.254329156726109,-2.55787736687792,0.010609801515959
"14","Q1.93",0.215799127233205,0.195861056159201,1.10179701603262,0.27069217263341
"15","Q1.102",-1.28436196856629,0.810066733748675,-1.5855014347062,0.113022071621769
"16","Q1.103",0.440234515266242,0.168056063037627,2.61956937053605,0.00887551171037655
"17","Q1.122",0.726556264957364,0.299714786235171,2.42415889480765,0.0154384620657497
"18","Q1.123",0.885734797544902,0.339475940478207,2.60912392288302,0.00915003560970674
"19","Q1.124",0.720619630826543,0.259916272041873,2.77250679676742,0.00561797237773446
"20","Q1.12.11",-0.741456119234032,0.437229767489471,-1.69580429871323,0.0900899396301473
"21","Q1.12.12",-0.275752410906502,0.184225435967012,-1.49682050938872,0.134609266703153
"22","Q1.12.13",-0.0472392922540241,0.167432298306248,-0.282139663206554,0.777867742978386
"23","Q1.132",0.472635037390633,0.324122405393936,1.45819921586783,0.144954103806071
"24","Q1.133",0.435465495947573,0.317603812698883,1.37109656287544,0.170509902725262
"25","Q1.134",0.693007861806542,0.333377525397113,2.07874799292797,0.0377769989038646
"26","Q1.135",0.730457454375333,0.391168639898848,1.86737222739589,0.0620064686586718
"27","Q1.142",0.248388829063532,0.316012851932838,0.786008630801896,0.431962335253058
"28","Q1.143",0.498662316356975,0.307984849576781,1.61911313833201,0.105592090536505
"29","Q1.144",0.324000705708809,0.309192474174334,1.04789324699451,0.294823646619633
"30","Q1.152",0.678752147185128,0.384808586779917,1.76386954580441,0.0779177347848141
"31","Q1.153",1.15073555010831,0.395983210112153,2.90602106534363,0.00370376255441554
"32","Q1.154",2.1143574064017,0.42728493497408,4.94835467702591,8.15764699206421e-07
"33","Q1.162",0.105630906837784,0.371595002774186,0.284263528974244,0.776240007071298
"34","Q1.163",-0.609848218686429,0.356774369711088,-1.70933864778537,0.0875546855065155
"35","Q1.172",0.688647714356818,0.293697661103016,2.34475042045116,0.0191442532269654
"36","Q1.173",0.534822325377228,0.467262588509945,1.14458623165772,0.25252754759059
"37","Q1.182",-0.342362720024442,1.14387915592447,-0.299299727817619,0.764744729186886
"38","Q1.183",-0.352087235805034,1.15475490442539,-0.304902135038113,0.760474729068782
"39","Q1.184",-0.636881994249921,1.14823213960553,-0.554663096670258,0.579191666804824
"40","Q1.19.11",0.628919792131543,0.658389672912485,0.955239454697736,0.339580481422927
"41","Q1.19.12",0.70905575476733,0.639286214651475,1.10913662537506,0.267514323122695
"42","Q1.19.13",0.704393568416708,0.642978686808848,1.09551620118649,0.273432077150389
"43","Q1.19.14",0.326583293765412,0.666047486080194,0.490330345194172,0.623957867171524
"44","Q1.19.21",-1.21021841955324,0.762836946237837,-1.58647064162505,0.112802198555475
"45","Q1.19.22",-0.959603856708264,0.752443976582774,-1.27531601896304,0.202356331009304
"46","Q1.19.23",-0.85557449485096,0.758790069603329,-1.12755099087976,0.259654712469471
"47","Q1.19.24",-0.409222620294175,0.774474731580663,-0.528387310272826,0.59729344453593
"48","Q1.20.11",-1.19532484722544,1.22312104878642,-0.977274365780428,0.328560153567639
"49","Q1.20.12",0.220796074288525,0.590412511238573,0.373969165770788,0.708469788797625
"50","Q1.20.13",0.157794030594599,0.588773102924051,0.268004821910068,0.78872526046001
"51","Q1.20.14",0.173761530911294,0.64302317860653,0.270225921385674,0.787016366414219
"52","Q1.20.15",0.50910633442101,0.609280128821861,0.835586637964785,0.403494579080029
"53","Q1.212",-1.18046191706867,1.38151314331666,-0.854470276145681,0.392954274387381
"54","Q1.213",-1.31923932674773,1.35908171697183,-0.970684330657563,0.331831434028288
"55","Q1.214",-1.06608279768188,1.36182644938969,-0.78283308284962,0.433824579360055
"56","Q1.215",-1.23560637101989,1.36766968502177,-0.903439174350216,0.366409593383337
